dim1,dim2,label,label_name
26.52055103593812,15.581544387130103,4,Coat
43.42350087656231,9.141672688040689,4,Coat
18.9224140842352,-60.79947573367128,1,Trouser
2.066964389930757,-52.367231155796354,3,Dress
-55.10577068351147,8.828277936539504,7,Sneaker
31.012387733805564,33.30690670127026,2,Pullover
-66.71183226984597,26.854702605027466,9,Ankle boot
-21.688809812012376,-13.47418759857533,5,Sandal
38.77812546461082,42.25973296357202,2,Pullover
-14.21313647944944,-13.872707572018209,5,Sandal
38.90751837179041,50.349800585693764,2,Pullover
11.23434627623409,12.788704114965466,6,Shirt
17.437381104207578,30.07513011269709,2,Pullover
17.013145204933338,-68.28454590256163,1,Trouser
22.9660734973217,18.13677893216363,4,Coat
-5.678358683165234,-11.051020979291906,0,T-shirt/top
-39.377005708709305,-11.448222944259426,7,Sneaker
-70.59667812924575,-1.2065856915124697,7,Sneaker
15.119807792947086,-53.371757494719425,3,Dress
-51.7217304150214,-11.189185836117456,7,Sneaker
28.421415459303596,-45.2929104746941,3,Dress
-68.85852487362179,1.1400808138343261,7,Sneaker
32.02244337493381,-21.063038236012854,6,Shirt
4.71270425368925,-3.9791850261712716,6,Shirt
52.44823380586449,38.11083706230671,2,Pullover
36.18283477359956,39.91239248016411,4,Coat
-55.40471117254727,4.941903565548585,9,Ankle boot
45.540209697706615,-31.667644605969105,3,Dress
-3.926246028227327,57.467216405617954,8,Bag
16.031320547532314,-38.55630471523223,1,Trouser
11.666952989071886,-10.147981713689786,0,T-shirt/top
-45.22542465911105,7.543031815151172,8,Bag
13.516137967062182,54.66505658141258,6,Shirt
-48.353248748793554,24.507451928669205,8,Bag
37.08249197186283,-15.223007785345722,0,T-shirt/top
47.00268333231714,55.559392041507934,6,Shirt
-62.07905021790089,-3.7437473290264442,9,Ankle boot
-58.78603292995285,9.288446047790313,9,Ankle boot
-50.25091044814285,34.833657526736225,7,Sneaker
41.722818589220374,52.717843149211966,4,Coat
32.80286020698455,-12.652561629533107,6,Shirt
45.01321457191852,-5.111053039947685,0,T-shirt/top
10.742593908849562,-31.95081666874341,3,Dress
40.2995019736207,54.46867022244041,6,Shirt
43.630233884881555,-11.250352800879682,3,Dress
-60.001374489984734,-0.08157967964594862,7,Sneaker
16.763720895356524,27.526380955076938,2,Pullover
36.55142350962906,-2.6507992444455653,4,Coat
-72.33167421836154,11.050307638281872,9,Ankle boot
-29.300953495467837,-11.210431089413134,5,Sandal
44.01582905834221,-3.4853426449136298,3,Dress
27.39298920548424,41.48975355716863,4,Coat
-8.93497429954462,-13.331232368461697,0,T-shirt/top
-12.823279280886483,-9.533289634799491,5,Sandal
3.671980960860259,-14.691017074839055,0,T-shirt/top
-23.549038633623855,-20.490884443429692,5,Sandal
-37.6366074231416,-13.997652944511074,5,Sandal
37.108088115973075,27.017753065097978,4,Coat
45.28597530065984,-4.353245644443285,0,T-shirt/top
-40.176460003138814,-10.071758107436294,7,Sneaker
-50.528936956415905,17.157338766464083,9,Ankle boot
7.235028686329499,-22.71146255445987,3,Dress
1.9140254222896782,2.816883960064608,6,Shirt
-6.284815951777194,-12.322857772335984,2,Pullover
-63.41206964709232,11.642352495158342,5,Sandal
16.52959480213619,45.376154502893534,8,Bag
-8.758399829716145,-10.541244073433129,5,Sandal
-53.24319102004774,15.044447885323443,9,Ankle boot
-69.51630591493317,0.8559448782490535,7,Sneaker
31.039083828553974,-46.52323428965288,3,Dress
-51.92830352819529,27.31288694122251,9,Ankle boot
-72.34553258155071,11.650390426020135,9,Ankle boot
-26.420099943233787,-12.024912673781296,5,Sandal
47.87939524332465,60.12347062526043,6,Shirt
44.06817634976496,-1.0604605959361908,3,Dress
-63.70107145637272,3.064424937724077,7,Sneaker
-54.693617619169615,6.136614763119424,5,Sandal
31.5857506836809,32.412757078435355,2,Pullover
31.38629929853691,31.87142240971238,8,Bag
-40.08415582988847,-11.62752358355041,5,Sandal
45.144852287229185,23.321074477985384,2,Pullover
29.87875071588982,-47.93123148698848,3,Dress
